13101,1,千代田区,Chiyoda-ku,65472
13102,2,中央区,Chuo-ku,166536
13103,3,港区,Minato-ku,259494
13104,4,新宿区,Shinjuku-ku,349511
13105,5,文京区,Bunkyo-ku,235026
13106,6,台東区,Taito-ku,208562
13107,7,墨田区,Sumida-ku,269627
13108,8,江東区,Koto-ku,518371
13109,9,品川区,Shinagawa-ku,411070
13110,10,目黒区,Meguro-ku,287776
13111,11,大田区,Ota-ku,739962
13112,12,世田谷区,Setagaya-ku,938205
13113,13,渋谷区,Shibuya-ku,234728
13114,14,中野区,Nakano-ku,341985
13115,15,杉並区,Suginami-ku,585186
13116,16,豊島区,Toshima-ku,300756
13117,17,北区,Kita-ku,354256
13118,18,荒川区,Arakawa-ku,218434
13119,19,板橋区,Itabashi-ku,583467
13120,20,練馬区,Nerima-ku,741649
13121,21,足立区,Adachi-ku,683110
13122,22,葛飾区,Katsushika-ku,454882
13123,23,江戸川区,Edogawa-ku,696014